Date, Gas Sensor Value(ppm), Water Flow Rate(GPM), Water Level Sensor(%), Tempertature Sensor('C), Label
29/09/2019,28.4648117615926,3523.3206189531443,54.07808866626264,31.08538650721695,4
30/09/2019,9.275628132728354,3635.7473061907867,26.001966063971782,17.665426891200756,1
01/10/2019,20.547685708258694,1321.5202055304553,68.37656367654638,24.184590071982843,1
02/10/2019,2.9419929807727896,4073.5851510845937,64.43471738707761,44.62375221575273,3
03/10/2019,27.224303814508065,1671.1948016368888,44.699330677984705,29.130991881604718,1
04/10/2019,27.102249904398825,3827.160469142865,66.87930863704672,41.24908401410064,4
05/10/2019,13.713080138654016,1745.7824585555945,31.626730760585996,21.66084972337553,1
06/10/2019,5.85774606605291,2947.5347033927374,11.380114842813072,23.70332747569472,1
07/10/2019,35.12593589118413,4106.223653826811,96.17856227709767,41.68301100281231,4
08/10/2019,49.167982526170405,2752.741571637617,15.116891108952558,25.80560926099385,2
09/10/2019,39.5433780578762,1126.6826250720715,75.02191940210707,23.315074333855005,2
10/10/2019,12.811986090529714,1802.988947986319,68.96527365060187,36.217857397808444,3
11/10/2019,4.832854957324672,3185.440866621584,46.38823859370687,37.74963285237561,3
12/10/2019,8.596859855661476,3942.2060134345707,3.8992999416420093,18.522956773782465,1
13/10/2019,45.34322490302281,3760.80856614299,51.215216822979684,19.075592869712654,3
14/10/2019,7.196352068351553,4220.779619481726,30.251612772723945,16.32048081547295,1
15/10/2019,37.10811919211408,3521.8969980295983,17.029197263744965,35.17957066206142,3
16/10/2019,38.50224137828987,3064.322973555457,15.846946333018163,33.46500483206657,3
17/10/2019,22.69104043383538,3654.094564715822,63.0836602307911,29.852369357085273,2
18/10/2019,6.871337494239688,1203.3211281592057,94.02452707476905,27.5719961305643,1
19/10/2019,19.30499271345579,1209.092248961912,90.26944709653209,18.2255341836253,1
20/10/2019,1.150945614198301,1028.496410827343,17.565023982380623,42.91628042000916,1
21/10/2019,16.33946188046273,1219.3005170949803,84.3123333676281,29.662981608572263,1
22/10/2019,41.86556793542079,2986.7380786173817,99.53765492808255,36.848091294098616,4
23/10/2019,10.927554750257068,4266.502275447943,85.77358684714798,28.232711355614004,2
24/10/2019,20.447681301551974,1782.4394757852428,7.083085971077196,17.85168919673461,1
25/10/2019,42.68611364546403,1344.585363905901,5.369114397825891,16.883595637829266,1
26/10/2019,47.89539372253155,3299.0868368118618,99.14775933948103,33.37156881920046,4
27/10/2019,1.2616184188826651,1206.1983111231862,88.12285185844175,27.452242439493787,1
28/10/2019,42.73979312001468,4305.94298511494,24.18523703307075,33.53123728040171,3
29/10/2019,42.814683816013,2333.1734298769316,54.87000882451625,26.624944106788586,3
30/10/2019,0.7047973669662422,3364.6704942972283,18.840239744573505,28.869572263698316,1
31/10/2019,14.075966926886968,1220.5604958128895,74.62577739680843,31.97969592342881,2
01/11/2019,0.9423275423389055,2100.7370809576287,73.63095984187265,40.219761296833255,3
02/11/2019,45.1063093489484,4214.115116361544,46.33515758700008,36.233300460856064,4
03/11/2019,16.225607136499686,2554.4479374775437,56.64528266032662,18.855812990254094,2
04/11/2019,34.39389640068277,3491.085401138944,93.51950028841603,17.81854547845411,3
05/11/2019,6.983404285437689,3476.4476888721338,11.266573078668907,19.031653102843116,1
06/11/2019,12.421282967186853,4124.140955673669,0.3354197561065475,35.916459480920494,2
07/11/2019,41.55803057275965,3182.53676705553,68.9446072384483,17.0377955350968,3
08/11/2019,32.33507092508216,3918.287271842447,42.561668308502654,32.06864820546164,3
09/11/2019,47.56990267416405,2332.64542454159,43.02730116507089,26.900588482585462,2
10/11/2019,48.85106276851751,3460.609961538929,92.02962444991199,24.494708278130812,3
11/11/2019,11.771491931800398,948.8092466264285,94.66886457917681,18.849045638476085,1
12/11/2019,9.027700598051297,3172.6925581388655,98.0129983019371,45.23971868937213,3
13/11/2019,8.273459565036696,3936.9894123865206,86.8299757770589,18.674250518601443,2
14/11/2019,41.04060280070098,2105.55094498811,74.09240777825826,42.27680847385734,4
15/11/2019,47.52579552699018,927.5828375878923,67.38564535693337,38.10633783739418,3
16/11/2019,39.59101615111805,2766.9290131550733,44.010425665571994,40.68980768198004,3
17/11/2019,0.9367814376151862,1199.4640059176747,47.35635796424705,38.33405836639948,2
18/11/2019,9.080987094008147,4420.79852273743,25.03271304716652,33.06096929925802,2
19/11/2019,18.512579583954825,4002.404046316629,65.27812034475429,40.791918567500375,3
20/11/2019,38.18807031028387,2448.9076850280962,52.330915972905544,37.18877706882158,4
21/11/2019,19.400265810647248,2142.7096272534927,53.727087579992464,27.339895948941844,2
